class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
2,374086.0,29.0,17.0,1.0,0.0,1612.0,0.11,0.48,0.06,-0.08,0.05,-1.42,4.56,78.56,67.81,9.55,-1.18,1.11,11,3648
2,374303.0,33.0,18.0,0.0,1.0,1506.0,-0.43,0.36,0.58,0.19,-0.04,0.11,12.25,84.25,4.0,8.94,-0.63,1.48,11,3648
2,374523.0,29.0,683.0,0.0,1.0,1512.0,1.23,0.47,0.07,0.01,-0.37,1.1,8.25,81.81,84.37,10.94,-0.91,0.21,11,3648
2,374738.0,1126.0,2189.0,5.0,2.0,2716.0,-1.48,0.53,0.15,0.04,0.04,1.95,346.25,60.06,89.62,6.92,-4.5,0.19,11,3648
2,374955.0,957.0,2703.0,2.0,2.0,2933.0,-0.07,0.57,0.5,0.26,0.02,1.4,326.31,41.13,87.5,6.28,-6.89,0.84,11,3648
2,375174.0,56.0,3219.0,0.0,2.0,2773.0,-1.69,0.18,0.09,-0.24,0.11,0.16,316.56,30.87,87.0,3.34,-8.22,0.53,11,3648
2,375391.0,382.0,847.0,1.0,1.0,2771.0,-0.14,0.27,0.21,0.22,-0.12,-0.23,319.5,33.38,87.62,5.25,-7.9,0.55,11,3648
2,375610.0,29.0,13.0,1.0,1.0,2118.0,-0.25,0.34,0.04,0.16,-0.03,-0.18,320.87,36.5,86.0,5.59,-7.5,0.6,11,3648
2,375830.0,33.0,13.0,0.0,0.0,2078.0,0.13,0.16,0.33,-0.06,-0.12,-0.47,322.75,39.0,85.25,6.34,-7.39,0.95,11,3648
2,376044.0,31.0,14.0,0.0,1.0,1956.0,-0.4,0.45,-0.06,0.01,-0.08,-1.05,332.0,48.5,85.62,6.94,-6.01,0.42,11,3648
2,376262.0,31.0,18.0,0.0,0.0,1786.0,0.3,1.08,0.21,0.07,0.09,-1.44,348.12,63.88,80.94,9.1,-3.16,0.89,11,3648
2,376481.0,25.0,7.0,0.0,1.0,2428.0,0.74,0.46,0.08,-0.08,0.16,-1.11,6.5,80.19,59.31,10.42,-0.87,0.95,11,3648
