class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
3,634320.0,27.0,8.0,0.0,5.0,1376.0,0.81,-0.16,-0.15,-0.08,-0.06,-0.05,44.25,79.12,67.75,10.54,-1.97,0.85,1,591
3,634540.0,27.0,13.0,0.0,3.0,1442.0,-0.28,0.1,-0.03,0.05,0.08,0.67,40.19,75.19,72.5,9.19,-2.28,0.71,1,591
3,634757.0,46.0,13.0,0.0,2.0,1336.0,-0.25,0.1,0.0,0.05,0.05,0.9,29.5,65.19,76.94,8.64,-3.89,0.92,1,591
3,634978.0,30.0,12.0,0.0,1.0,1719.0,0.86,0.39,0.0,-0.01,-0.0,0.85,18.56,54.44,79.69,8.84,-5.21,1.01,1,591
3,635192.0,24.0,0.0,1.0,0.0,1812.0,0.33,0.3,0.18,-0.0,-0.01,0.91,7.56,43.38,81.37,7.07,-6.73,1.25,1,591
3,635407.0,26.0,7.0,0.0,1.0,1965.0,-0.68,0.29,0.16,-0.04,0.01,0.57,357.81,33.31,82.19,4.71,-7.82,1.27,1,591
3,635627.0,23.0,3.0,0.0,6.0,2007.0,-0.34,0.24,0.27,-0.13,0.05,-0.12,357.12,31.87,83.12,4.84,-8.01,1.25,1,591
3,635842.0,25.0,11.0,7.0,0.0,2012.0,-0.91,0.18,-0.05,-0.1,0.0,-0.48,1.81,35.38,84.0,4.76,-7.76,0.77,1,591
3,636059.0,35.0,17.0,3.0,0.0,1627.0,-0.31,0.24,-0.03,-0.04,-0.06,-0.68,9.13,42.5,84.81,6.32,-6.94,0.6,1,591
3,636277.0,51.0,13.0,2.0,0.0,1507.0,0.0,0.36,0.28,0.06,-0.06,-1.01,17.81,52.0,84.37,7.78,-5.56,0.87,1,591
3,636491.0,28.0,11.0,1.0,0.0,1355.0,-0.19,0.34,0.01,0.12,0.03,-0.9,28.94,63.94,80.69,8.62,-3.89,0.7,1,591
3,636707.0,33.0,15.0,0.0,0.0,1231.0,1.55,0.24,-0.06,0.01,-0.02,-0.93,38.31,73.69,72.12,10.99,-2.29,0.77,1,591
3,636925.0,24.0,7.0,0.0,5.0,1373.0,0.09,-0.02,-0.31,-0.02,0.04,0.46,44.75,79.75,62.81,9.74,-1.61,0.48,1,591
3,637144.0,23.0,8.0,0.0,0.0,1454.0,-0.32,0.14,0.26,0.12,0.14,0.23,40.5,76.06,64.87,9.19,-1.98,1.26,1,591
3,637360.0,25.0,8.0,0.0,3.0,1491.0,0.02,0.11,0.04,-0.02,-0.01,0.04,39.06,74.75,64.69,9.48,-2.2,1.14,1,591
3,637582.0,27.0,9.0,0.0,7.0,1511.0,0.11,0.02,-0.22,0.04,0.07,0.25,38.19,73.94,67.12,9.53,-2.47,0.82,1,591
3,637796.0,23.0,7.0,7.0,0.0,1493.0,-0.01,0.05,-0.1,0.03,0.02,0.15,35.81,71.81,68.44,9.47,-2.77,1.2,1,591
3,638010.0,25.0,7.0,0.0,9.0,1509.0,-0.11,0.09,0.05,0.01,-0.01,0.02,34.31,70.5,69.0,9.13,-2.96,1.23,1,591
3,638226.0,25.0,11.0,0.0,0.0,1562.0,-0.28,0.03,0.09,0.02,0.03,0.14,33.69,69.87,69.44,8.91,-3.12,1.27,1,591
3,638443.0,27.0,9.0,0.0,0.0,1553.0,0.48,0.07,-0.09,0.01,0.02,0.1,32.56,68.94,70.62,9.63,-3.24,1.06,1,591
