class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
4,178529.0,25.0,9.0,0.0,2.0,2408.0,-0.1,0.09,0.12,0.06,0.09,1.09,340.81,57.25,84.94,8.14,-5.18,0.58,6,2160
4,178748.0,27.0,11.0,3.0,1.0,2633.0,-0.27,0.13,0.04,0.11,0.14,0.87,328.75,45.13,84.19,6.44,-6.8,0.81,6,2160
4,178968.0,25.0,7.0,7.0,3643.0,2876.0,-2.58,0.77,0.37,0.46,0.47,-1.86,330.31,46.94,79.37,4.26,-5.5,1.5,6,2160
4,179187.0,25.0,7.0,0.0,3475.0,1896.0,4.62,-0.16,0.5,-0.44,-0.66,-1.38,3.69,77.69,49.13,14.2,-1.74,1.87,6,2160
4,179404.0,26.0,7.0,0.0,2679.0,1755.0,0.77,-0.1,0.0,0.01,0.01,0.03,5.12,79.0,49.75,10.4,-1.53,1.2,6,2160
4,179620.0,28.0,9.0,5.0,1.0,1781.0,0.06,-0.18,0.23,-0.03,-0.04,0.1,4.81,78.81,51.63,9.65,-1.72,1.39,6,2160
4,179838.0,29.0,9.0,3.0,0.0,1769.0,-0.12,-0.2,0.1,-0.05,-0.07,0.11,3.19,77.37,60.75,9.44,-2.07,1.14,6,2160
4,180054.0,25.0,6.0,0.0,6.0,1789.0,-0.54,-0.09,0.17,0.07,0.1,0.29,0.94,75.5,66.69,8.94,-2.37,1.15,6,2160
4,180271.0,30.0,16.0,0.0,0.0,1353.0,-0.01,-0.06,0.15,-0.02,-0.04,0.14,359.31,74.06,69.44,9.25,-2.63,1.06,6,2160
