class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
6,269104.0,25.0,1815.0,0.0,1.0,2550.0,-0.29,0.41,0.55,-0.0,0.02,-0.08,299.62,5.25,83.56,0.61,-9.29,1.64,10,3561
6,269324.0,28.0,10.0,1.0,1.0,2344.0,-2.83,0.89,0.24,-0.36,0.21,-2.07,309.37,13.56,84.06,-0.34,-8.53,1.19,10,3561
6,269540.0,19.0,3.0,3231.0,29.0,2117.0,4.25,4.29,2.01,-0.17,0.46,-3.95,4.31,61.69,84.69,12.88,-0.33,2.43,10,3561
6,269761.0,27.0,7.0,3356.0,3481.0,1832.0,1.25,0.33,0.0,-0.06,0.06,-0.35,20.25,76.5,77.81,11.2,-1.88,0.2,10,3561
6,269978.0,29.0,17.0,0.0,1.0,1315.0,1.15,-0.09,-0.29,0.1,-0.31,1.06,15.88,73.19,85.56,10.54,-2.91,-0.07,10,3561
6,270193.0,24.0,3795.0,0.0,0.0,1911.0,1.22,0.74,-0.29,0.37,-0.24,2.27,354.5,55.38,92.12,8.78,-4.26,-0.55,10,3561
6,270407.0,29.0,2654.0,0.0,0.0,1919.0,-1.43,2.09,0.97,0.76,0.1,3.28,313.44,19.56,84.75,1.85,-7.1,1.82,10,3561
6,270626.0,27.0,191.0,0.0,1.0,2506.0,-1.11,0.18,0.07,-0.74,0.58,-0.28,294.0,-0.5,83.06,-1.18,-9.55,1.18,10,3561
6,270843.0,26.0,1012.0,0.0,1.0,2451.0,-0.34,0.33,0.38,0.06,-0.03,-0.19,299.0,3.06,85.87,0.17,-9.45,1.16,10,3561
6,271059.0,28.0,605.0,0.0,2.0,2231.0,0.1,0.26,0.49,-0.09,-0.06,-1.1,307.94,11.88,86.0,2.12,-9.3,1.15,10,3561
6,271276.0,26.0,20.0,0.0,1.0,2117.0,1.49,0.53,1.27,-0.03,0.51,-0.78,321.25,24.87,86.81,5.68,-8.31,1.78,10,3561
6,271492.0,39.0,21.0,1274.0,7.0,1893.0,0.61,0.33,0.2,0.01,0.05,-0.31,326.94,28.81,86.44,5.34,-8.24,0.73,10,3561
