class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
2,183890.0,31.0,2.0,0.0,0.0,1917.0,-1.6,0.3,0.48,-0.02,-0.02,-0.48,334.75,21.44,86.56,2.03,-8.79,1.02,7,2303
2,184109.0,28.0,17.0,2.0,2.0,1695.0,-1.89,1.68,0.41,-0.04,0.15,-2.61,353.94,39.63,85.81,4.55,-5.67,0.96,7,2303
2,184327.0,25.0,16.0,2780.0,23.0,2164.0,-0.01,0.66,0.0,0.23,0.11,-1.9,23.62,68.56,76.44,9.17,-2.64,0.86,7,2303
2,184550.0,29.0,0.0,3848.0,37.0,1879.0,0.36,0.26,-0.16,-0.06,-0.05,-0.15,36.31,81.0,59.0,10.05,-1.03,0.62,7,2303
2,184767.0,34.0,19.0,4095.0,1183.0,1245.0,-0.67,0.41,0.29,-0.02,-0.06,-0.12,37.44,81.56,55.19,9.03,-0.75,1.11,7,2303
2,184985.0,27.0,9.0,613.0,19.0,1819.0,-0.05,0.23,0.02,0.02,-0.06,0.05,37.69,82.19,56.88,9.69,-0.92,0.7,7,2303
2,185204.0,27.0,11.0,0.0,12.0,1899.0,-0.18,0.32,0.17,0.02,0.06,0.66,33.56,78.69,66.87,9.43,-1.44,0.92,7,2303
2,185419.0,30.0,10.0,0.0,11.0,1973.0,-0.21,0.35,0.09,-0.04,0.02,0.81,25.0,70.19,76.0,8.99,-2.93,0.89,7,2303
2,185635.0,27.0,10.0,1.0,2.0,2121.0,0.12,0.41,0.19,-0.05,-0.05,1.24,12.63,57.75,81.81,8.21,-4.84,1.0,7,2303
