class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
3,976845.0,19.0,9.0,0.0,0.0,2297.0,0.9,0.03,0.23,0.01,-0.02,0.55,286.0,34.06,80.94,6.36,-8.01,1.5,14,4936
3,977063.0,37.0,14.0,5.0,1.0,2392.0,-0.02,0.3,-0.03,-0.06,0.09,0.85,276.75,25.31,81.5,3.3,-8.74,1.55,14,4936
3,977282.0,21.0,8.0,0.0,0.0,2431.0,-0.5,0.1,-0.23,-0.03,-0.09,0.28,270.56,19.06,82.44,2.7,-9.07,0.97,14,4936
3,977497.0,28.0,17.0,0.0,0.0,1991.0,0.77,0.03,-0.18,-0.13,-0.03,-0.49,272.56,22.12,83.37,4.51,-8.97,0.84,14,4936
3,977721.0,169.0,11.0,0.0,0.0,2478.0,-0.2,0.03,0.49,0.06,-0.01,-0.08,274.19,24.0,83.25,3.78,-8.86,1.54,14,4936
3,977937.0,211.0,13.0,1.0,0.0,1918.0,0.17,0.01,0.0,0.01,-0.0,-0.33,276.94,26.75,82.69,4.81,-8.64,1.12,14,4936
3,978153.0,309.0,79.0,0.0,2.0,2313.0,0.18,0.12,0.13,-0.01,-0.0,-0.28,280.06,30.12,82.0,5.11,-8.27,1.3,14,4936
3,978378.0,275.0,20.0,2.0,1.0,2379.0,-0.16,0.0,0.09,0.01,0.0,-0.04,281.69,31.69,81.87,4.98,-8.26,1.28,14,4936
3,978598.0,341.0,27.0,0.0,0.0,2286.0,-0.04,0.19,0.0,0.03,-0.02,-0.39,284.19,34.25,81.62,5.5,-7.79,1.16,14,4936
3,978823.0,192.0,5.0,1.0,1.0,2313.0,0.11,0.05,0.1,0.0,0.01,-0.01,286.75,37.13,81.0,6.03,-7.67,1.31,14,4936
3,979038.0,132.0,10.0,1.0,2.0,2199.0,-0.11,0.0,-0.08,-0.02,-0.01,-0.35,288.69,38.75,80.94,6.02,-7.54,1.12,14,4936
