class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
3,154876.0,35.0,13.0,9.0,3.0,1389.0,-0.5,0.05,0.12,-0.02,0.06,-0.56,344.81,76.81,83.56,9.06,-2.1,0.37,14,4966
3,155094.0,38.0,19.0,1.0,1.0,1274.0,-0.23,0.16,0.37,-0.17,-0.18,-0.32,351.94,82.75,83.94,9.5,-1.03,0.48,14,4966
3,155315.0,27.0,17.0,0.0,0.0,1223.0,0.34,-0.23,0.17,-0.03,-0.04,0.04,355.56,85.62,4.19,10.12,-0.95,0.31,14,4966
3,155531.0,30.0,17.0,2.0,0.0,1319.0,-0.15,-0.2,0.17,0.02,0.06,0.37,352.19,82.19,79.12,9.55,-1.51,0.42,14,4966
3,155749.0,25.0,9.0,0.0,0.0,1835.0,0.1,-0.17,0.26,-0.05,-0.05,0.52,347.0,76.94,84.19,9.65,-2.42,0.48,14,4966
3,155966.0,26.0,7.0,0.0,0.0,2138.0,0.0,-0.1,0.31,-0.02,-0.09,0.42,340.87,70.94,87.94,9.27,-3.3,0.42,14,4966
3,156180.0,27.0,11.0,2.0,13.0,2237.0,0.01,-0.03,0.25,-0.0,-0.01,0.27,336.69,66.75,88.62,9.01,-3.92,0.34,14,4966
3,156399.0,27.0,9.0,0.0,11.0,2245.0,-0.06,0.01,0.21,-0.02,-0.01,0.41,332.69,62.69,88.75,8.63,-4.51,0.3,14,4966
3,156614.0,25.0,5.0,2.0,0.0,2332.0,-0.08,-0.05,0.15,-0.02,-0.01,0.29,328.56,58.38,89.0,8.26,-5.19,0.24,14,4966
3,156832.0,26.0,9.0,2.0,0.0,2360.0,0.08,0.0,0.33,-0.01,-0.0,0.38,324.62,54.38,88.81,8.05,-5.7,0.45,14,4966
