class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
4,516814.0,26.0,9.0,0.0,0.0,2147.0,-0.09,0.11,0.05,-0.09,0.03,0.93,14.5,49.38,72.44,7.34,-5.96,1.97,4,1531
4,517033.0,41.0,17.0,0.0,0.0,2035.0,-1.29,0.18,0.08,-0.09,0.04,0.83,4.31,38.69,76.12,4.84,-7.23,1.91,4,1531
4,517250.0,33.0,15.0,1.0,0.0,1975.0,0.45,0.14,0.26,-0.12,0.03,0.65,356.87,30.69,78.31,5.45,-8.09,2.0,4,1531
4,517464.0,27.0,9.0,1655.0,13.0,2575.0,-1.9,0.22,0.17,0.0,0.05,-0.11,351.37,24.5,79.37,2.16,-8.55,1.8,4,1531
4,517683.0,21.0,3.0,2808.0,266.0,2590.0,4.13,-0.36,-0.18,0.17,0.15,-3.06,18.31,50.06,68.31,11.65,-6.21,2.13,4,1531
4,517901.0,27.0,9.0,1036.0,8.0,2141.0,-0.71,0.1,0.34,0.04,-0.07,0.12,22.25,55.38,69.44,7.35,-5.11,2.29,4,1531
4,518118.0,26.0,7.0,2493.0,22.0,2153.0,-0.09,0.16,0.09,0.15,0.1,-0.16,23.56,56.63,66.44,8.25,-4.7,2.24,4,1531
4,518336.0,25.0,7.0,2315.0,20.0,2217.0,-1.56,-0.07,0.34,0.13,0.03,-0.21,24.87,58.13,60.75,6.77,-4.58,2.86,4,1531
4,518557.0,25.0,7.0,1447.0,10.0,2053.0,-1.68,0.03,0.0,-0.02,-0.08,-0.54,29.87,62.88,56.06,7.04,-3.67,2.5,4,1531
4,518770.0,33.0,13.0,0.0,0.0,1437.0,0.23,0.25,0.91,0.03,-0.15,-0.51,35.19,68.31,51.88,9.36,-2.55,3.13,4,1531
4,518991.0,30.0,17.0,0.0,0.0,1273.0,0.06,-0.02,0.18,-0.03,-0.07,-0.53,42.06,74.81,41.5,9.53,-1.67,2.09,4,1531
4,519211.0,31.0,12.0,0.0,0.0,1225.0,-0.7,-0.19,0.02,-0.16,-0.19,-0.12,45.63,78.62,43.38,10.25,-1.35,1.54,4,1531
