class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
2,137986.0,33.0,13.0,535.0,0.0,1951.0,-1.54,0.32,0.49,-0.12,0.02,1.12,39.5,17.44,77.44,1.3,-8.84,2.5,10,3292
2,138203.0,36.0,17.0,3041.0,29.0,1837.0,-3.87,2.82,0.7,0.02,0.05,-3.03,43.94,21.56,77.94,0.01,-5.97,2.61,10,3292
2,138424.0,19.0,7.0,1532.0,1.0,1936.0,4.82,0.11,1.15,0.45,-0.03,-1.79,91.5,59.94,35.69,13.36,-2.61,5.14,10,3292
2,138642.0,29.0,5.0,1833.0,12.0,1847.0,0.23,0.06,0.34,0.1,0.06,-0.19,94.56,62.0,28.37,8.89,-2.12,4.38,10,3292
2,138857.0,25.0,9.0,1711.0,12.0,1786.0,-0.02,-0.01,0.24,-0.01,-0.02,0.02,94.69,62.06,27.87,8.64,-2.16,4.3,10,3292
2,139073.0,35.0,19.0,320.0,0.0,1295.0,-0.34,-0.3,0.18,-0.26,-0.38,0.26,94.31,63.63,33.88,9.4,-2.68,3.6,10,3292
2,139290.0,2072.0,19.0,11.0,0.0,1215.0,0.8,-0.09,-0.22,-0.22,-0.59,0.01,93.37,68.69,55.38,9.94,-3.01,1.78,10,3292
2,139505.0,24.0,13.0,0.0,3.0,1619.0,-0.32,0.01,-0.01,0.11,0.14,0.33,91.12,65.37,55.0,8.57,-3.35,2.33,10,3292
2,139722.0,23.0,9.0,76.0,1.0,1711.0,0.31,0.05,0.24,0.01,0.01,0.68,84.81,59.81,58.44,8.79,-4.13,2.81,10,3292
