class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
4,233839.0,573.0,11.0,1.0,2.0,2315.0,0.29,0.19,0.08,-0.24,-0.05,-1.03,303.75,16.75,75.12,3.21,-8.85,2.46,9,3139
4,234058.0,955.0,9.0,6.0,2.0,2154.0,0.09,-0.07,1.07,-0.1,-0.01,-1.02,316.5,28.44,76.0,4.76,-8.44,3.15,9,3139
4,234272.0,1133.0,11.0,5.0,0.0,1629.0,0.23,0.36,-0.03,-0.12,-0.03,-1.27,330.44,41.38,75.12,6.81,-6.66,1.83,9,3139
4,234492.0,1128.0,30.0,7.0,0.0,1490.0,0.63,0.19,-0.1,-0.12,-0.02,-0.84,344.12,53.94,73.0,8.61,-5.25,1.56,9,3139
4,234708.0,731.0,2823.0,4.0,0.0,1390.0,2.86,-0.06,-0.66,-0.14,-0.1,0.4,350.5,59.38,73.06,11.3,-4.83,0.79,9,3139
4,234926.0,950.0,3673.0,6.0,0.0,1947.0,-0.55,2.77,-1.37,0.63,-0.02,4.01,319.31,31.62,77.37,4.58,-5.36,0.44,9,3139
4,235144.0,26.0,2675.0,0.0,0.0,2605.0,-2.04,0.8,1.31,0.03,0.02,0.01,288.0,2.87,72.5,-1.54,-8.53,4.24,9,3139
4,235361.0,25.0,2327.0,0.0,9.0,2687.0,-0.03,0.09,0.09,0.06,-0.06,-0.02,288.69,3.62,72.81,0.78,-9.25,3.18,9,3139
4,235583.0,25.0,2093.0,0.0,1.0,2693.0,0.0,-0.06,0.09,-0.04,0.04,-0.04,289.44,4.12,73.0,0.71,-9.41,2.95,9,3139
4,235806.0,25.0,1904.0,0.0,0.0,2678.0,0.1,0.0,0.15,-0.01,0.0,-0.02,289.94,4.62,72.87,0.9,-9.33,3.02,9,3139
4,236026.0,31.0,1917.0,0.0,0.0,2172.0,-0.08,0.04,0.14,0.0,-0.0,-0.02,290.19,4.94,72.87,0.75,-9.29,3.01,9,3139
4,236246.0,25.0,1383.0,7.0,1.0,2644.0,-0.17,-0.04,0.13,-0.01,-0.02,-0.04,290.56,5.31,72.81,0.73,-9.37,3.01,9,3139
