class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
2,247886.0,25.0,1.0,0.0,1.0,1757.0,0.0,0.0,-0.55,-0.01,-0.02,-0.34,66.75,74.31,72.31,9.49,-2.38,0.31,12,4079
2,248106.0,29.0,9.0,0.0,1.0,1687.0,1.9,0.59,0.24,-0.03,-0.03,0.9,66.56,74.56,65.62,11.35,-1.78,1.32,12,4079
2,248325.0,30.0,759.0,1.0,3.0,1559.0,-0.57,0.86,-0.62,0.37,0.16,2.82,39.56,49.25,79.19,6.36,-5.7,1.9,12,4079
2,248547.0,2264.0,2057.0,13.0,2.0,2991.0,-0.37,0.71,0.33,0.37,0.07,1.99,7.56,19.31,78.19,2.87,-8.34,2.22,12,4079
2,248761.0,2519.0,1624.0,17.0,1.0,2969.0,-1.59,0.17,0.52,-0.06,-0.06,0.5,351.69,4.56,77.06,-0.85,-9.35,2.69,12,4079
2,248977.0,25.0,92.0,0.0,1.0,2905.0,0.27,-0.14,-0.27,-0.01,0.02,-0.23,353.94,5.69,78.87,1.09,-9.5,1.74,12,4079
2,249200.0,35.0,13.0,1.0,0.0,2058.0,1.18,0.41,0.25,-0.08,0.07,-0.23,357.75,9.13,78.87,2.73,-9.08,2.12,12,4079
2,249417.0,31.0,17.0,0.0,2.0,2093.0,0.15,0.55,0.58,-0.05,0.02,-0.06,358.06,9.0,78.56,1.69,-8.93,2.5,12,4079
2,249635.0,25.0,9.0,1.0,1.0,2509.0,-0.49,0.3,-0.12,-0.15,-0.02,-0.48,2.5,13.0,80.25,1.7,-9.1,1.49,12,4079
