class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
2,418601.0,1913.0,13.0,12.0,3.0,1772.0,-0.58,0.16,0.36,-0.03,-0.02,0.75,346.94,37.31,83.25,5.35,-7.58,1.27,3,1069
2,418816.0,56.0,8.0,0.0,1.0,2276.0,-0.28,0.11,0.31,0.0,0.01,0.63,339.5,29.75,83.87,4.53,-8.38,1.21,3,1069
2,419038.0,2414.0,5.0,16.0,5.0,2340.0,-0.5,0.32,0.47,-0.02,-0.02,0.03,334.25,24.81,84.56,3.6,-8.54,1.32,3,1069
2,419255.0,1324.0,9.0,7.0,1.0,1965.0,-2.57,1.1,0.09,-0.09,0.12,-2.65,347.44,37.19,83.75,3.35,-6.66,0.93,3,1069
2,419473.0,21.0,5.0,525.0,1421.0,2069.0,1.63,0.83,0.68,0.67,0.53,-2.28,20.06,67.81,54.06,9.84,-1.88,2.91,3,1069
2,419692.0,31.0,17.0,435.0,4095.0,1337.0,-0.4,-0.18,-0.07,-0.05,0.01,-0.03,28.62,74.0,34.06,9.02,-1.69,2.15,3,1069
2,419911.0,31.0,13.0,0.0,1801.0,1267.0,-1.3,-0.43,0.35,-0.03,-0.09,-0.12,29.56,75.25,34.44,8.17,-1.84,2.4,3,1069
2,420132.0,3820.0,13.0,29.0,2.0,1223.0,-0.11,-0.12,0.22,-0.02,-0.14,0.39,27.87,76.25,47.81,9.41,-1.84,1.78,3,1069
2,420355.0,3324.0,16.0,27.0,1.0,1355.0,0.37,0.21,0.19,-0.04,-0.07,0.97,17.87,68.44,65.25,9.5,-3.05,1.69,3,1069
2,420573.0,3414.0,17.0,27.0,0.0,1498.0,0.1,0.17,0.35,-0.12,-0.06,0.88,6.06,57.13,76.56,8.34,-5.0,1.58,3,1069
2,420795.0,3083.0,9.0,24.0,3.0,1977.0,0.13,0.02,0.49,-0.08,-0.05,0.72,357.87,48.44,80.94,7.48,-6.39,1.51,3,1069
