class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
2,413799.0,1543.0,9.0,7.0,1.0,2160.0,-1.06,0.29,0.38,-0.01,-0.02,1.02,344.75,35.06,83.62,4.53,-7.77,1.44,3,1068
2,414017.0,915.0,7.0,5.0,0.0,1983.0,-1.55,0.11,0.38,0.0,-0.04,0.47,335.19,25.75,84.5,2.2,-8.69,1.32,3,1068
2,414237.0,25.0,4.0,5.0,4.0,2363.0,-1.61,1.07,-0.01,-0.0,0.03,-2.36,346.25,36.31,83.62,4.19,-6.77,0.85,3,1068
2,414454.0,47.0,17.0,843.0,2339.0,1499.0,0.48,0.5,0.61,0.75,0.63,-2.27,14.06,63.56,61.13,9.33,-3.1,2.8,3,1068
2,414674.0,46.0,19.0,227.0,4095.0,1437.0,0.73,0.25,0.12,-0.09,0.06,-0.01,27.31,74.44,34.0,10.18,-1.21,2.3,3,1068
2,414893.0,34.0,17.0,0.0,4025.0,1289.0,-0.69,-0.12,0.51,-0.03,-0.06,-0.04,27.44,74.06,33.94,8.74,-1.62,2.73,3,1068
2,415108.0,2251.0,17.0,16.0,0.0,1251.0,2.07,-0.22,-0.17,-0.19,-0.38,0.42,27.37,76.25,45.81,9.64,-2.08,2.06,3,1068
2,415329.0,3863.0,14.0,29.0,1.0,1272.0,0.25,0.2,0.81,0.03,-0.01,0.67,21.62,72.19,62.19,9.42,-2.55,1.56,3,1068
2,415548.0,3717.0,14.0,27.0,1.0,1401.0,0.37,0.4,-0.11,-0.13,-0.05,0.92,12.44,63.5,73.12,9.15,-3.77,1.15,3,1068
2,415765.0,3463.0,13.0,26.0,1.0,1548.0,-0.32,0.35,-0.01,-0.07,-0.07,0.93,1.25,52.38,80.06,7.38,-5.6,1.0,3,1068
2,415985.0,2909.0,13.0,23.0,0.0,1692.0,0.0,0.0,0.01,-0.0,0.02,0.65,351.87,43.19,82.12,6.66,-7.12,0.99,3,1068
2,416198.0,1127.0,9.0,6.0,0.0,2142.0,-0.29,0.15,0.33,-0.01,0.07,0.52,345.5,36.63,82.5,5.56,-7.64,1.35,3,1068
