class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
6,176393.0,28.0,2182.0,0.0,1.0,2037.0,-1.84,0.07,0.16,0.0,-0.01,0.51,331.44,23.19,83.12,2.02,-8.87,1.24,5,1906
6,176606.0,41.0,1464.0,0.0,1.0,2132.0,-0.97,0.02,0.14,-0.06,0.05,0.33,326.87,18.37,83.31,2.48,-9.15,1.1,5,1906
6,176823.0,31.0,2322.0,1.0,5.0,2662.0,0.02,0.2,0.19,0.04,-0.07,-0.34,327.0,18.62,83.37,3.16,-9.02,1.26,5,1906
6,177042.0,27.0,12.0,2.0,1.0,1885.0,-1.95,0.95,0.0,0.02,0.04,-2.8,343.62,35.56,81.62,3.75,-6.93,1.16,5,1906
6,177256.0,37.0,15.0,283.0,53.0,1677.0,2.0,0.25,-0.43,0.35,0.12,-1.48,10.13,61.56,69.37,10.62,-4.11,1.2,5,1906
6,177474.0,23.0,3.0,0.0,4095.0,2313.0,16.07,0.84,31.98,0.08,0.64,-2.27,25.87,73.56,25.06,20.27,1.15,7.44,5,1906
6,177694.0,1635.0,5.0,9.0,0.0,1486.0,8.79,2.12,1.53,-0.74,-0.58,2.87,22.69,72.69,38.69,18.15,0.3,3.8,5,1906
6,177910.0,35.0,11.0,0.0,0.0,2940.0,-8.32,-0.88,4.93,-0.09,1.22,2.23,325.12,18.62,84.69,-5.4,-10.19,5.81,5,1906
6,178128.0,25.0,2981.0,0.0,1.0,2659.0,-1.05,1.03,0.61,0.26,-0.38,-0.49,325.31,15.5,86.25,1.62,-8.37,1.23,5,1906
6,178349.0,26.0,3078.0,0.0,1.0,2419.0,0.0,0.55,-0.04,-0.02,-0.04,-0.96,334.5,26.37,86.06,4.57,-8.21,0.84,5,1906
6,178566.0,23.0,2917.0,1.0,0.0,2328.0,-0.25,0.28,0.44,-0.0,0.01,-0.75,345.06,36.94,85.69,5.68,-7.81,0.86,5,1906
6,178784.0,27.0,25.0,0.0,3.0,1755.0,0.71,-0.01,0.54,0.18,0.08,-0.69,355.19,46.88,83.62,7.87,-6.67,1.28,5,1906
6,179002.0,30.0,13.0,1.0,10.0,2344.0,0.22,-0.11,0.33,0.07,0.04,0.2,357.87,50.06,79.75,7.73,-6.32,1.45,5,1906
6,179224.0,25.0,12.0,5.0,9.0,2401.0,0.08,0.41,0.15,-0.01,0.04,1.4,347.69,40.0,80.69,6.39,-6.99,1.36,5,1906
