class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
6,385444.0,26.0,9.0,0.0,1.0,1452.0,-0.09,0.11,-0.11,0.11,0.05,1.03,26.19,61.13,99.75,8.49,-4.54,-0.92,1,703
6,385662.0,27.0,9.0,0.0,0.0,1605.0,-0.2,0.03,0.06,0.08,0.05,1.05,12.75,48.69,95.56,7.16,-6.4,-0.56,1,703
6,385882.0,27.0,8.0,2.0,1.0,1759.0,-0.24,0.04,0.0,0.09,0.07,1.09,359.87,36.25,93.31,5.56,-7.84,-0.45,1,703
6,386098.0,51.0,17.0,0.0,2.0,1747.0,0.81,0.36,0.17,0.11,0.04,1.04,347.5,24.31,91.69,4.5,-8.78,-0.23,1,703
6,386315.0,35.0,18.0,0.0,2.0,1865.0,-0.08,0.27,0.37,0.1,-0.01,0.73,336.44,13.56,90.37,2.06,-9.4,0.22,1,703
6,386534.0,31.0,13.0,1931.0,17.0,1828.0,-6.79,2.48,3.96,-0.12,0.06,-2.89,339.12,17.0,89.69,-3.92,-6.89,4.0,1,703
6,386747.0,25.0,26.0,0.0,1.0,1373.0,8.02,2.87,0.47,-0.21,-1.25,-4.52,43.25,77.87,84.75,17.61,0.82,0.66,1,703
6,386965.0,26.0,8.0,3109.0,2587.0,1238.0,-0.04,-0.4,0.02,0.1,0.19,-0.03,53.0,86.19,176.56,9.73,-0.98,-0.24,1,703
6,387183.0,24.0,11.0,0.0,1.0,1241.0,3.38,0.03,-0.31,0.07,-0.15,0.68,49.94,84.62,174.87,13.14,-0.82,-0.61,1,703
6,387398.0,55.0,4095.0,42.0,46.0,1532.0,-0.56,6.45,-1.21,0.34,0.15,6.61,358.75,36.25,93.25,5.23,-1.44,-1.66,1,703
6,387616.0,27.0,7.0,0.0,1.0,2044.0,-3.13,0.69,1.36,-0.08,-0.11,-0.04,316.5,-7.06,86.62,-2.64,-9.73,1.65,1,703
6,387834.0,26.0,1052.0,0.0,1.0,2106.0,0.21,-0.34,0.2,-0.1,-0.04,-0.39,320.37,-2.06,88.87,-0.13,-10.14,0.39,1,703
6,388048.0,26.0,163.0,0.0,1.0,2131.0,-0.13,0.04,0.27,-0.02,-0.0,-0.22,323.12,1.0,89.12,0.04,-9.76,0.42,1,703
