class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
5,722222.0,27.0,10.0,1.0,11.0,1865.0,-0.2,0.1,-0.5,0.94,0.54,0.22,122.19,73.56,47.06,9.19,-1.92,1.44,13,4660
5,722440.0,27.0,9.0,2.0,12.0,1903.0,0.7,0.54,0.09,0.97,0.38,0.77,107.5,64.56,35.19,8.96,-2.06,3.27,13,4660
5,722655.0,27.0,11.0,0.0,3.0,1554.0,0.53,0.29,0.05,0.44,0.15,1.03,90.94,55.13,39.25,8.58,-3.25,4.39,13,4660
5,722872.0,33.0,2.0,1.0,0.0,1712.0,0.22,0.45,0.2,-0.01,0.1,0.94,77.0,45.25,46.75,7.14,-4.63,4.93,13,4660
5,723090.0,39.0,23.0,1.0,0.0,1855.0,-0.06,0.37,-0.09,-0.37,0.13,0.82,67.87,35.94,54.38,5.89,-6.38,4.74,13,4660
5,723310.0,24.0,12.0,0.0,0.0,2517.0,0.09,0.24,-0.1,-0.68,0.23,0.45,63.69,28.19,62.38,4.68,-7.45,3.85,13,4660
5,723528.0,35.0,28.0,1.0,0.0,1975.0,0.6,0.02,-0.23,-0.58,-0.06,-0.05,64.31,24.5,69.75,4.91,-8.44,2.82,13,4660
5,723748.0,29.0,17.0,3.0,0.0,2453.0,-0.82,0.3,0.05,-0.82,0.19,-0.34,69.37,25.37,76.56,3.38,-8.31,2.11,13,4660
5,723965.0,30.0,10.0,1.0,0.0,2207.0,0.3,0.25,-0.31,-0.76,-0.05,-1.23,85.12,35.94,85.31,6.06,-7.65,0.33,13,4660
5,724183.0,31.0,18.0,0.0,6.0,1523.0,-1.53,0.35,-0.37,0.09,0.4,-1.22,106.81,53.19,88.94,6.38,-5.42,-0.23,13,4660
5,724399.0,21.0,3.0,0.0,16.0,2396.0,-0.24,-0.24,-0.57,0.42,0.21,-1.07,120.62,67.62,81.5,8.82,-3.93,-0.02,13,4660
5,724615.0,37.0,23.0,0.0,0.0,1259.0,-0.56,0.17,-0.67,0.74,0.23,-0.42,123.56,74.62,54.88,8.89,-1.94,0.81,13,4660
5,724837.0,51.0,20.0,3.0,0.0,1422.0,1.04,0.23,-0.67,1.12,0.73,0.34,115.06,70.12,33.25,10.26,-1.59,2.1,13,4660
