class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
5,107030.0,31.0,17.0,1.0,1.0,1305.0,0.44,-0.14,-0.86,0.3,0.22,0.14,144.56,76.19,33.88,9.96,-1.44,1.07,4,1545
5,107248.0,29.0,9.0,0.0,0.0,1803.0,0.47,-0.01,0.26,0.59,0.39,0.45,136.81,70.69,29.37,9.73,-1.6,3.08,4,1545
5,107471.0,26.0,8.0,0.0,0.0,1931.0,-0.42,0.16,0.4,0.24,0.21,0.66,126.19,63.75,34.13,8.37,-2.27,3.98,4,1545
5,107686.0,27.0,11.0,0.0,0.0,2019.0,-0.33,-0.11,0.14,-0.05,0.08,0.56,119.75,58.94,41.81,8.04,-3.53,3.91,4,1545
5,107906.0,29.0,9.0,2.0,0.0,2121.0,0.37,0.02,0.04,-0.13,-0.07,0.64,112.87,53.38,50.13,8.22,-4.51,3.78,4,1545
5,108124.0,22.0,7.0,0.0,0.0,2234.0,-0.52,0.22,0.22,0.03,0.03,0.97,102.5,44.63,57.63,5.9,-5.93,4.06,4,1545
5,108340.0,26.0,9.0,0.0,10.0,2381.0,-1.15,0.14,0.35,-0.06,0.04,0.77,92.37,35.63,61.88,4.56,-6.88,4.1,4,1545
5,108560.0,27.0,9.0,0.0,18.0,2452.0,-0.14,0.29,0.34,-0.3,0.12,0.54,86.87,29.31,65.56,4.66,-7.49,3.88,4,1545
5,108778.0,35.0,20.0,3.0,2.0,2022.0,-1.06,0.11,-0.22,-0.47,0.13,0.06,85.5,25.06,70.37,3.08,-8.27,2.72,4,1545
5,108998.0,26.0,4.0,0.0,0.0,2384.0,-0.57,0.24,0.13,-0.38,0.09,-0.37,90.0,27.31,74.25,3.94,-8.13,2.47,4,1545
5,109213.0,42.0,75.0,1.0,1.0,2072.0,-1.31,0.29,-0.3,-0.45,0.07,-1.03,101.69,35.38,77.0,4.35,-7.5,1.48,4,1545
5,109428.0,33.0,13.0,3.0,4.0,1641.0,0.02,0.28,-0.25,-0.12,-0.01,-1.19,116.5,47.94,77.94,7.38,-6.05,1.1,4,1545
5,109646.0,35.0,17.0,0.0,11.0,1489.0,-0.15,0.18,0.21,0.13,0.02,-1.13,130.0,61.06,71.81,8.47,-4.23,1.7,4,1545
5,109863.0,33.0,21.0,1.0,2.0,1338.0,0.35,0.22,-0.16,0.17,0.04,-0.99,140.5,71.5,55.31,9.65,-2.33,1.6,4,1545
5,110077.0,26.0,9.0,0.0,0.0,1671.0,-0.51,-0.18,0.0,0.09,-0.1,-0.09,146.44,76.44,36.69,9.35,-1.49,1.86,4,1545
