class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
1,33284.0,33.0,14.0,2.0,4.0,1768.0,0.72,0.25,0.28,0.0,-0.07,-0.81,321.0,38.75,84.56,6.86,-7.35,1.0,6,2019
1,33501.0,34.0,17.0,1.0,0.0,1645.0,-0.65,0.18,-0.01,-0.0,-0.04,-0.77,330.12,48.25,84.25,6.7,-6.25,0.63,6,2019
1,33721.0,35.0,15.0,2.0,2.0,1497.0,-0.58,0.2,0.12,-0.02,-0.04,-0.86,339.62,57.88,83.37,7.76,-4.9,0.71,6,2019
1,33938.0,33.0,13.0,1.0,1.0,1362.0,1.24,-0.02,0.03,-0.04,-0.09,-0.71,350.62,68.62,81.87,10.38,-3.55,0.53,6,2019
1,34154.0,27.0,1545.0,0.0,2.0,2159.0,-0.49,-0.13,0.04,-0.03,-0.03,0.05,351.12,69.19,83.44,8.67,-3.59,0.44,6,2019
1,34372.0,53.0,1099.0,0.0,0.0,1353.0,-0.18,-0.04,0.14,0.02,0.05,0.21,350.75,68.81,84.12,8.95,-3.57,0.51,6,2019
1,34591.0,35.0,18.0,1.0,1.0,1446.0,0.69,-0.08,0.15,0.03,0.13,0.32,347.44,65.12,82.06,8.4,-4.13,0.48,6,2019
1,34808.0,31.0,9.0,1.0,2.0,2141.0,0.7,0.11,0.05,0.04,0.06,0.17,344.31,62.0,80.69,8.61,-4.62,0.83,6,2019
1,35028.0,26.0,9.0,1.0,1.0,2280.0,-0.02,-0.03,0.08,-0.01,0.0,0.01,342.62,60.13,79.75,8.46,-4.83,0.97,6,2019
1,35248.0,27.0,11.0,1.0,1.0,2355.0,-0.03,-0.02,0.14,0.01,-0.0,0.0,342.5,60.06,79.62,8.47,-4.82,1.02,6,2019
1,35467.0,27.0,10.0,0.0,1.0,2556.0,-0.1,-0.02,0.09,0.01,0.0,-0.01,342.5,60.13,79.69,8.39,-4.82,0.97,6,2019
1,35688.0,31.0,8.0,0.0,1.0,2587.0,-0.05,0.04,0.11,-0.01,-0.0,0.0,342.5,60.13,79.5,8.45,-4.75,0.99,6,2019
1,35909.0,27.0,7.0,0.0,1.0,2672.0,0.0,0.0,0.06,0.01,-0.0,-0.02,342.5,60.19,79.44,8.5,-4.79,0.95,6,2019
1,36130.0,27.0,0.0,2.0,1.0,2644.0,-0.02,0.0,0.06,0.0,-0.0,0.0,342.62,60.25,79.37,8.49,-4.79,0.99,6,2019
1,36350.0,27.0,9.0,3.0,1.0,2500.0,-0.01,-0.04,0.08,-0.0,0.0,0.01,342.62,60.25,79.37,8.5,-4.79,0.98,6,2019
