class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
0,65310.0,633.0,1189.0,2.0,0.0,2214.0,-0.31,0.44,0.19,0.05,-0.07,0.83,343.06,40.0,76.62,5.99,-6.85,1.92,8,2776
0,65522.0,941.0,1509.0,3.0,2.0,2359.0,-0.45,0.44,0.11,0.03,-0.02,0.64,333.31,31.06,77.87,4.74,-7.77,1.78,8,2776
0,65743.0,1321.0,1118.0,6.0,0.0,2504.0,-0.23,0.41,0.21,0.11,-0.05,0.93,323.69,22.31,78.06,3.41,-8.48,2.09,8,2776
0,65960.0,794.0,1994.0,3.0,1.0,2543.0,-1.22,0.34,0.26,-0.03,0.0,0.41,314.31,13.88,78.19,1.13,-8.97,2.21,8,2776
0,66175.0,25.0,67.0,0.0,2.0,2467.0,-1.56,0.32,0.33,-0.14,0.1,-1.01,319.06,17.31,79.06,1.45,-8.83,2.09,8,2776
0,66397.0,30.0,17.0,0.0,0.0,1918.0,1.22,0.44,-0.1,0.06,0.12,-1.12,338.62,34.44,79.25,6.86,-7.43,1.41,8,2776
0,66611.0,47.0,17.0,363.0,1.0,1783.0,0.52,0.5,0.31,0.09,0.12,-1.17,352.44,47.06,74.0,7.7,-5.9,2.15,8,2776
0,66834.0,23.0,8.0,1456.0,9.0,2184.0,-1.04,0.55,-0.22,0.01,0.17,-1.06,5.0,57.94,65.94,7.85,-3.89,2.04,8,2776
0,67053.0,22.0,7.0,1243.0,9.0,2007.0,-0.61,0.26,-0.03,0.03,0.08,-0.69,17.56,67.37,48.0,8.44,-2.54,2.48,8,2776
0,67266.0,30.0,10.0,3219.0,29.0,1387.0,1.12,0.44,-0.08,-0.27,-0.28,-0.48,24.75,72.19,34.31,10.04,-1.44,1.92,8,2776
0,67484.0,25.0,9.0,2708.0,25.0,1854.0,0.02,0.17,-0.16,0.02,-0.01,0.04,25.62,72.62,34.06,9.29,-1.53,2.33,8,2776
0,67703.0,26.0,8.0,0.0,0.0,1846.0,-0.14,0.17,-0.04,0.02,-0.05,0.93,20.25,69.94,46.38,9.06,-2.26,2.27,8,2776
0,67921.0,25.0,9.0,0.0,0.0,2007.0,-0.08,0.28,0.08,-0.03,-0.09,1.17,6.56,59.38,64.75,8.35,-4.23,2.21,8,2776
0,68139.0,23.0,9.0,0.0,0.0,2148.0,-0.12,0.6,0.06,0.0,-0.16,1.49,350.94,45.44,73.81,6.77,-6.1,1.97,8,2776
0,68357.0,507.0,762.0,1.0,1.0,2379.0,-0.2,0.51,0.02,0.17,-0.24,1.47,331.56,29.44,78.69,4.43,-8.24,1.58,8,2776
0,68573.0,1343.0,959.0,7.0,2.0,2549.0,-1.06,0.55,1.05,0.33,-0.23,0.77,311.75,14.25,76.56,1.35,-8.69,3.25,8,2776
0,68794.0,595.0,132.0,2.0,1.0,2573.0,-2.28,1.0,0.59,-0.23,0.23,-0.66,310.94,13.06,77.06,-0.06,-8.3,2.71,8,2776
0,69013.0,29.0,18.0,0.0,0.0,1807.0,-2.53,3.95,-0.28,-0.48,0.51,-4.67,348.12,41.94,78.81,4.02,-3.19,1.12,8,2776
0,69227.0,25.0,8.0,3380.0,30.0,1871.0,2.98,-0.07,-1.65,-0.12,-0.1,-0.32,27.87,73.81,34.81,11.7,-1.23,1.09,8,2776
0,69445.0,26.0,7.0,2405.0,21.0,1869.0,-0.37,0.09,-0.04,0.06,0.02,0.05,27.12,73.19,35.31,9.01,-1.54,2.26,8,2776
