class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
4,156410.0,170.0,17.0,2.0,1.0,1780.0,-0.34,0.37,0.15,0.03,-0.02,-0.57,308.75,25.5,74.94,3.93,-8.14,2.45,10,3435
4,156628.0,23.0,9.0,0.0,2.0,2072.0,-0.88,0.52,0.0,-0.01,-0.03,-0.8,317.25,34.0,73.62,4.65,-7.23,2.27,10,3435
4,156846.0,25.0,9.0,1.0,1.0,1943.0,1.15,0.51,-0.34,-0.02,-0.05,-0.46,328.56,45.13,71.87,8.1,-6.06,1.8,10,3435
4,157061.0,919.0,4095.0,4.0,1.0,2293.0,2.25,4.34,-0.67,0.42,-0.09,3.29,311.69,30.25,74.75,6.94,-3.96,1.57,10,3435
4,157280.0,27.0,8.0,0.0,1.0,2441.0,-1.24,0.5,1.12,-0.0,-0.28,-0.17,285.75,5.87,72.5,-0.2,-8.79,4.04,10,3435
4,157499.0,25.0,771.0,0.0,0.0,2523.0,-0.29,0.44,0.41,-0.02,0.03,-0.06,288.37,8.75,73.0,1.2,-8.85,3.26,10,3435
4,157714.0,25.0,102.0,0.0,1.0,2424.0,-0.21,0.37,0.05,-0.05,0.03,-0.4,291.75,11.19,73.44,1.69,-8.84,2.79,10,3435
4,157933.0,28.0,13.0,1.0,1.0,2219.0,-0.27,0.37,0.16,-0.06,0.0,-0.6,297.19,16.19,73.19,2.51,-8.62,2.87,10,3435
