class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
3,314950.0,27.0,9.0,1.0,1.0,2503.0,-0.55,0.08,0.29,0.07,-0.0,0.61,323.94,29.0,88.31,4.2,-8.48,0.54,4,1459
3,315165.0,29.0,9.0,0.0,1.0,2658.0,0.15,0.05,0.29,0.03,-0.04,0.33,318.37,24.0,87.81,4.11,-8.9,0.63,4,1459
3,315382.0,35.0,13.0,0.0,2.0,2063.0,-0.49,0.06,0.09,0.0,-0.03,-0.6,317.12,23.06,87.56,3.23,-8.89,0.6,4,1459
3,315600.0,27.0,9.0,0.0,3.0,2469.0,-0.08,0.08,0.31,-0.02,-0.11,-0.4,323.44,30.19,88.0,4.85,-8.38,0.6,4,1459
3,315816.0,29.0,14.0,1.0,0.0,1821.0,1.15,0.02,0.32,-0.11,-0.09,-0.5,331.37,38.25,89.12,7.26,-7.64,0.42,4,1459
3,316037.0,45.0,8.0,1.0,0.0,1772.0,0.13,0.04,0.25,-0.09,-0.03,-0.11,334.19,40.5,90.69,6.52,-7.39,0.15,4,1459
3,316252.0,0.0,20.0,0.0,1.0,2296.0,-0.43,0.0,0.15,-0.04,-0.04,-0.19,335.62,41.75,91.5,6.09,-7.31,-0.04,4,1459
3,316471.0,25.0,211.0,0.0,1.0,2247.0,-0.07,0.01,0.17,-0.04,-0.02,-0.3,339.19,45.31,92.25,6.9,-6.87,-0.09,4,1459
3,316689.0,26.0,7.0,0.0,1.0,2269.0,0.24,0.13,0.04,-0.02,0.0,-0.23,342.81,48.69,92.87,7.61,-6.32,-0.28,4,1459
3,316908.0,26.0,9.0,0.0,1.0,2147.0,-0.27,0.0,0.06,-0.03,-0.03,-0.38,345.94,51.81,93.19,7.45,-6.02,-0.28,4,1459
3,317123.0,21.0,9.0,1.0,1.0,2106.0,0.08,0.11,0.09,-0.02,-0.03,-0.34,350.94,56.63,94.37,8.4,-5.16,-0.37,4,1459
