class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
1,23764.0,41.0,19.0,1.0,3.0,1624.0,1.13,0.16,-0.17,0.19,0.18,-1.35,343.0,44.38,74.94,8.0,-6.59,1.64,10,3247
1,23985.0,34.0,19.0,69.0,3.0,1478.0,1.77,0.11,0.4,0.1,0.06,-0.76,355.19,56.0,65.19,9.9,-4.86,2.7,10,3247
1,24200.0,26.0,7.0,1.0,6.0,2103.0,0.11,0.04,0.19,-0.34,-0.43,-0.15,359.94,61.0,66.87,8.7,-4.31,2.0,10,3247
1,24419.0,745.0,8.0,5.0,2.0,2380.0,-0.4,0.07,0.0,-0.02,-0.07,0.25,358.56,60.25,75.31,8.1,-4.64,1.22,10,3247
1,24637.0,793.0,10.0,5.0,6.0,2492.0,0.05,0.0,0.27,-0.02,-0.03,0.02,357.12,59.19,76.44,8.48,-4.88,1.44,10,3247
1,24854.0,34.0,17.0,1.0,3.0,1445.0,0.2,-0.09,-0.1,0.11,0.47,0.28,355.87,57.13,75.25,8.44,-5.24,1.25,10,3247
1,25070.0,43.0,18.0,0.0,1.0,1509.0,0.38,0.0,0.15,0.05,0.08,0.09,353.62,54.38,72.56,8.35,-5.44,1.87,10,3247
1,25288.0,26.0,9.0,413.0,5.0,2579.0,-0.29,-0.01,0.08,0.03,0.02,0.01,352.56,53.19,71.25,7.55,-5.57,1.96,10,3247
1,25505.0,35.0,9.0,510.0,6.0,2604.0,-0.04,0.0,0.02,-0.01,-0.0,0.0,352.56,53.06,70.69,7.79,-5.56,1.96,10,3247
1,25722.0,26.0,11.0,395.0,3.0,2584.0,-0.05,0.0,0.1,0.01,-0.0,0.0,352.56,53.06,70.69,7.78,-5.56,2.04,10,3247
1,25941.0,25.0,11.0,547.0,5.0,2605.0,-0.05,0.0,0.04,0.0,0.0,-0.01,352.56,53.06,70.62,7.78,-5.56,1.99,10,3247
1,26162.0,27.0,9.0,439.0,3.0,2637.0,-0.04,-0.04,0.07,-0.0,-0.0,0.01,352.5,53.06,70.56,7.79,-5.59,2.02,10,3247
1,26381.0,26.0,10.0,459.0,5.0,2598.0,-0.03,0.0,0.11,-0.0,-0.01,0.0,352.5,53.06,70.56,7.78,-5.56,2.06,10,3247
1,26598.0,30.0,18.0,1.0,1.0,1494.0,-0.56,0.05,0.15,-0.15,-0.17,-0.26,353.31,54.0,71.25,7.37,-5.39,2.0,10,3247
1,26819.0,280.0,10.0,1.0,3.0,2335.0,0.76,-0.18,0.01,-0.09,-0.22,-0.06,355.56,56.88,75.69,7.72,-5.19,1.24,10,3247
