class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
0,115291.0,21.0,1656.0,0.0,0.0,2267.0,-0.15,0.09,-0.01,-0.03,-0.03,-0.26,326.25,47.69,85.94,7.11,-6.47,0.44,7,2416
0,115511.0,25.0,1991.0,0.0,1.0,2296.0,0.12,0.16,0.28,0.02,-0.01,-0.01,327.44,49.13,85.87,7.08,-6.21,0.6,7,2416
0,115729.0,29.0,1931.0,0.0,1.0,1951.0,-0.15,0.1,0.25,-0.03,-0.08,-1.0,333.19,55.06,86.25,7.87,-5.31,0.46,7,2416
0,115951.0,28.0,1899.0,0.0,1.0,1801.0,0.08,0.16,0.15,-0.07,-0.07,-1.11,346.12,68.06,87.37,9.22,-3.38,0.3,7,2416
0,116174.0,25.0,1076.0,0.0,2.0,1757.0,0.91,0.18,0.24,-0.07,0.01,-0.66,359.56,80.81,91.5,10.6,-1.32,0.2,7,2416
0,116391.0,35.0,18.0,1.0,1.0,1398.0,-0.74,-0.43,0.28,0.06,0.13,0.47,1.25,82.0,81.25,8.84,-1.67,0.59,7,2416
0,116613.0,25.0,10.0,3.0,1.0,1790.0,1.5,-0.13,0.25,-0.03,-0.05,0.71,353.94,74.62,83.56,10.77,-2.81,0.36,7,2416
0,116829.0,35.0,15.0,1.0,0.0,1699.0,0.86,0.06,0.43,0.02,0.04,1.39,337.81,58.69,87.25,9.24,-5.02,0.67,7,2416
0,117046.0,31.0,427.0,0.0,0.0,1836.0,-0.96,0.1,-0.13,0.07,0.07,0.69,325.0,45.88,85.94,6.02,-6.74,0.35,7,2416
0,117266.0,33.0,19.0,3.0,1.0,1996.0,-0.84,0.04,0.21,0.01,0.04,0.42,318.31,39.0,85.12,5.29,-7.57,0.85,7,2416
0,117482.0,25.0,1235.0,0.0,0.0,2229.0,0.05,-0.06,-0.05,-0.03,-0.01,-0.08,317.25,38.06,85.37,5.65,-7.86,0.8,7,2416
0,117701.0,25.0,1751.0,0.0,3.0,2185.0,-0.21,0.18,0.19,-0.04,-0.06,-0.58,320.12,41.19,85.56,6.15,-7.23,0.87,7,2416
0,117920.0,27.0,1459.0,0.0,2.0,1959.0,0.28,0.11,0.03,-0.04,-0.09,-1.13,331.12,52.5,86.19,8.06,-5.84,0.42,7,2416
0,118137.0,27.0,1751.0,0.0,2.0,1904.0,1.1,0.22,0.26,-0.08,-0.1,-1.02,343.94,65.31,87.06,10.06,-3.76,0.46,7,2416
0,118355.0,27.0,1998.0,1.0,1.0,1801.0,0.74,0.12,0.2,-0.07,-0.1,-0.79,354.69,75.62,89.56,10.26,-2.23,0.21,7,2416
