class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
4,97846.0,31.0,469.0,0.0,0.0,1783.0,0.25,0.0,0.29,0.13,0.08,0.86,335.31,57.44,75.0,8.48,-5.14,1.67,11,3853
4,98063.0,30.0,14.0,1.0,0.0,1912.0,-1.57,-0.07,0.2,0.05,0.09,0.51,326.19,48.75,76.25,6.29,-6.31,1.83,11,3853
4,98281.0,26.0,7.0,0.0,0.0,2493.0,-4.66,0.78,0.97,-0.12,0.13,-1.26,329.06,50.38,74.12,2.96,-5.13,2.68,11,3853
4,98499.0,25.0,4.0,2603.0,4095.0,2299.0,6.53,-0.45,1.64,-0.78,-0.57,-1.9,2.19,77.62,40.81,16.15,-1.66,3.16,11,3853
4,98715.0,25.0,9.0,0.0,0.0,2028.0,0.54,-0.55,-0.4,0.09,0.06,0.22,3.81,79.5,53.94,10.18,-2.02,0.65,11,3853
4,98938.0,26.0,9.0,0.0,0.0,2045.0,0.09,-0.05,0.34,0.15,0.14,0.96,354.62,72.44,65.12,9.12,-2.79,1.57,11,3853
4,99156.0,31.0,13.0,0.0,1.0,1775.0,-0.53,0.37,0.24,-0.0,-0.23,0.7,341.69,60.81,73.25,7.02,-4.31,1.42,11,3853
4,99375.0,27.0,979.0,0.0,1.0,2211.0,-0.68,-0.02,-0.01,-0.11,-0.03,0.04,337.37,57.19,78.69,7.56,-5.23,1.01,11,3853
