class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
4,162447.0,30.0,12.0,0.0,1.0,1749.0,-1.7,-0.26,-0.12,-0.11,0.05,-0.61,347.94,68.69,69.62,8.15,-3.41,1.45,11,3828
4,162663.0,35.0,17.0,1.0,0.0,1633.0,-0.23,-0.01,0.11,-0.09,-0.08,-0.46,355.75,75.69,67.5,9.26,-2.25,1.03,11,3828
4,162883.0,27.0,718.0,0.0,1.0,1889.0,0.26,-0.11,0.35,-0.13,-0.09,-0.43,1.62,80.56,62.25,9.93,-1.53,1.1,11,3828
4,163101.0,24.0,3366.0,0.0,1.0,2071.0,0.9,0.17,-0.35,0.21,0.01,1.35,359.31,78.69,72.0,10.5,-1.77,0.24,11,3828
4,163319.0,23.0,3975.0,0.0,1.0,2485.0,-2.17,1.08,-0.52,0.59,0.13,3.12,325.44,49.81,80.31,5.14,-5.34,0.58,11,3828
4,163536.0,24.0,2718.0,0.0,1.0,2459.0,-0.72,-0.02,-0.04,-0.12,0.19,-0.21,312.12,36.06,79.87,5.05,-7.82,1.34,11,3828
4,163758.0,25.0,144.0,0.0,1.0,2253.0,-1.21,0.09,0.14,-0.01,-0.01,-0.92,319.06,42.69,78.06,7.06,-6.98,1.88,11,3828
4,163977.0,25.0,7.0,0.0,1.0,2257.0,0.42,0.02,0.26,0.01,0.15,-0.34,327.62,50.63,75.94,7.73,-6.1,1.6,11,3828
4,164196.0,25.0,9.0,1.0,0.0,2477.0,-0.51,0.23,0.63,0.02,0.02,-0.1,329.06,51.69,74.94,7.17,-5.63,2.21,11,3828
4,164412.0,35.0,17.0,0.0,1.0,2007.0,-1.24,-0.27,-0.09,-0.02,0.02,-0.34,333.06,54.5,72.87,6.75,-5.69,1.57,11,3828
