class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
4,229065.0,31.0,9.0,2.0,1.0,1991.0,-1.15,0.83,0.11,-0.41,-0.07,-1.68,6.44,38.94,82.19,4.35,-6.64,1.11,11,3836
4,229282.0,25.0,6.0,0.0,1.0,2327.0,-0.36,0.31,-0.24,-0.27,0.06,-1.26,29.62,58.13,82.56,7.96,-4.81,0.41,11,3836
4,229504.0,31.0,19.0,0.0,0.0,1673.0,0.54,0.23,0.06,0.02,-0.0,-0.64,40.63,68.56,79.75,9.67,-3.28,0.7,11,3836
4,229718.0,25.0,11.0,0.0,0.0,1559.0,-0.39,0.33,0.14,-0.21,-0.49,-0.64,47.75,75.44,83.0,10.11,-2.1,0.32,11,3836
4,229938.0,31.0,13.0,0.0,1.0,1424.0,-0.05,0.0,-0.15,-0.09,-0.09,-0.33,55.31,81.56,90.94,9.64,-1.41,-0.18,11,3836
4,230158.0,29.0,1711.0,0.0,1.0,1561.0,1.37,-0.07,0.01,0.14,-0.1,1.32,48.44,75.12,91.31,10.85,-2.59,-0.04,11,3836
4,230374.0,43.0,4095.0,1.0,0.0,1898.0,-1.38,1.07,0.14,0.73,0.17,2.84,11.44,42.25,86.56,5.21,-6.16,0.57,11,3836
4,230594.0,35.0,2733.0,1.0,2.0,2121.0,-1.29,0.35,0.39,-0.21,0.2,-0.19,353.69,26.62,83.19,3.1,-8.34,1.43,11,3836
4,230813.0,44.0,925.0,1.0,0.0,2023.0,0.5,0.3,0.02,-0.07,-0.02,-0.99,3.12,34.31,83.56,6.11,-7.69,0.92,11,3836
4,231028.0,31.0,13.0,0.0,1.0,2020.0,0.64,0.15,0.44,0.02,0.06,-0.18,11.88,42.25,82.75,6.4,-7.16,1.01,11,3836
4,231247.0,27.0,7.0,0.0,1.0,2519.0,-0.53,0.16,0.24,-0.03,0.03,-0.01,12.81,42.81,82.44,6.45,-6.87,1.14,11,3836
4,231466.0,33.0,17.0,0.0,1.0,1981.0,-1.24,0.01,0.19,-0.05,-0.04,-0.39,15.25,44.88,82.62,5.67,-6.87,1.08,11,3836
4,231685.0,35.0,14.0,1.0,1.0,1883.0,-0.03,0.33,0.25,-0.04,-0.11,-0.55,20.44,50.38,82.87,7.52,-5.86,1.02,11,3836
4,231901.0,27.0,10.0,0.0,1.0,2123.0,0.0,0.34,0.1,-0.07,-0.06,-0.82,28.87,58.63,83.87,8.42,-4.66,0.63,11,3836
