class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
2,55177.0,51.0,17.0,0.0,9.0,1682.0,-0.89,0.15,0.39,0.01,0.04,-0.87,335.19,52.0,76.44,6.83,-5.71,1.8,14,4841
2,55390.0,26.0,23.0,3.0,0.0,1527.0,-0.57,-0.08,0.0,0.02,0.06,-1.06,347.75,63.56,70.06,8.2,-4.19,1.48,14,4841
2,55607.0,37.0,19.0,0.0,6.0,1407.0,2.28,0.27,0.2,0.07,0.08,-0.89,359.0,73.06,52.88,11.66,-1.99,1.92,14,4841
2,55824.0,35.0,17.0,0.0,6.0,1277.0,0.7,-0.13,-0.1,-0.1,-0.13,-0.23,6.25,77.75,34.25,10.29,-1.28,1.6,14,4841
2,56038.0,11.0,869.0,1.0,1.0,1798.0,2.8,0.49,0.16,0.02,-0.47,0.61,7.19,79.94,39.56,12.46,-0.59,1.48,14,4841
2,56253.0,40.0,3087.0,0.0,0.0,2172.0,-0.14,1.28,-0.21,0.08,-0.14,2.92,341.94,58.94,78.5,8.11,-3.91,0.78,14,4841
2,56471.0,18.0,2600.0,3.0,3.0,2601.0,-3.94,0.19,0.78,0.2,0.15,1.57,306.06,24.0,79.19,0.47,-8.62,3.06,14,4841
2,56691.0,33.0,2089.0,0.0,0.0,2437.0,0.47,0.13,0.07,-0.04,-0.04,-0.06,305.81,23.0,80.25,4.3,-8.75,1.59,14,4841
2,56907.0,26.0,1343.0,0.0,0.0,2457.0,-0.01,0.1,0.2,-0.09,0.02,-0.15,306.94,23.94,80.44,3.98,-8.72,1.69,14,4841
