class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
2,481704.0,30.0,16.0,0.0,0.0,1578.0,-0.69,-0.21,-0.32,0.17,0.04,-0.86,337.31,53.56,46.75,7.2,-4.45,3.65,2,755
2,481925.0,30.0,10.0,0.0,0.0,1444.0,0.68,0.01,-0.15,0.06,-0.01,-0.57,345.12,59.25,35.56,9.11,-2.89,3.91,2,755
2,482145.0,31.0,17.0,1.0,1.0,1315.0,0.13,-0.28,-0.41,-0.05,-0.06,-0.51,352.81,63.69,24.69,8.92,-2.09,3.52,2,755
2,482361.0,26.0,9.0,0.0,2.0,2119.0,-0.1,-0.13,-0.41,0.0,0.05,0.34,355.37,64.5,19.25,8.74,-1.55,3.57,2,755
2,482583.0,23.0,9.0,0.0,0.0,2213.0,0.15,-0.12,0.03,0.0,0.02,0.45,351.37,62.13,23.94,8.81,-2.02,4.21,2,755
2,482800.0,27.0,8.0,0.0,0.0,2325.0,0.54,0.11,0.15,-0.3,-0.09,1.18,342.75,57.63,40.5,8.28,-3.58,3.98,2,755
2,483017.0,54.0,17.0,0.0,0.0,1699.0,0.15,-0.23,-0.41,-0.21,-0.06,1.06,330.19,47.25,56.63,7.2,-5.64,3.4,2,755
2,483238.0,25.0,9.0,2.0,1.0,2796.0,0.51,0.28,0.05,-0.12,0.02,1.32,316.5,34.88,64.37,6.12,-6.97,3.52,2,755
2,483453.0,29.0,17.0,1.0,0.0,2013.0,-0.28,0.13,0.04,-0.17,0.05,0.91,302.75,21.31,68.87,3.2,-8.42,3.32,2,755
2,483669.0,30.0,13.0,0.0,0.0,2117.0,-0.62,-0.09,-0.45,-0.02,0.01,0.63,293.62,11.31,71.37,0.32,-9.13,2.6,2,755
2,483888.0,30.0,14.0,1.0,0.0,2063.0,-4.18,0.91,0.33,0.54,-0.15,-2.01,298.87,17.69,68.0,-1.19,-7.75,3.82,2,755
2,484101.0,23.0,7.0,1081.0,2361.0,2824.0,0.49,0.62,-1.07,0.73,-0.03,-2.06,323.25,42.0,52.13,7.82,-4.75,4.74,2,755
2,484316.0,27.0,9.0,629.0,1707.0,2505.0,1.13,-0.04,-0.34,0.04,-0.07,-1.06,340.31,54.69,33.69,9.13,-3.18,4.36,2,755
2,484533.0,25.0,7.0,604.0,2004.0,2341.0,0.22,-0.01,0.01,0.06,0.06,-0.27,346.19,57.56,24.06,8.5,-2.13,4.82,2,755
2,484749.0,24.0,9.0,0.0,807.0,2231.0,0.47,-0.14,-0.03,0.0,-0.06,-0.18,347.62,58.25,21.87,8.81,-2.06,4.75,2,755
2,484970.0,31.0,15.0,0.0,0.0,1381.0,-0.29,-0.4,-0.52,-0.07,-0.15,-0.25,349.69,59.81,21.44,8.59,-2.09,4.13,2,755
2,485189.0,31.0,16.0,0.0,0.0,1292.0,-0.57,-0.27,0.01,-0.1,-0.14,-0.21,351.94,62.56,21.19,8.12,-1.9,4.22,2,755
