class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
3,1628489.0,25.0,105.0,0.0,4.0,2208.0,0.62,0.14,-0.01,-0.11,-0.11,-1.3,26.12,23.56,84.62,4.66,-8.75,0.81,13,4725
3,1628705.0,23.0,984.0,0.0,3.0,2249.0,-0.22,0.12,-0.01,-0.08,-0.03,-0.21,30.31,28.25,85.19,4.57,-8.51,0.74,13,4725
3,1628925.0,29.0,869.0,0.0,3.0,2265.0,0.39,0.02,-0.1,0.06,0.01,-0.03,32.56,30.44,85.44,5.37,-8.39,0.55,13,4725
3,1629140.0,27.0,1135.0,0.0,8.0,2217.0,0.42,0.22,-0.24,-0.01,-0.01,-0.22,33.69,31.69,85.31,5.59,-8.07,0.43,13,4725
3,1629358.0,26.0,888.0,0.0,0.0,2204.0,0.26,0.12,-0.19,-0.02,-0.02,-0.18,35.94,33.94,85.31,5.75,-7.97,0.46,13,4725
3,1629578.0,25.0,1050.0,0.0,2.0,2148.0,0.23,0.14,-0.16,-0.01,-0.03,-0.24,38.0,36.06,85.44,6.01,-7.75,0.46,13,4725
3,1629793.0,25.0,937.0,0.0,0.0,2099.0,-0.11,-0.03,-0.26,-0.02,-0.02,-0.22,40.56,38.69,85.62,6.01,-7.66,0.31,13,4725
3,1630009.0,26.0,611.0,0.0,1.0,2105.0,0.12,0.15,-0.14,-0.01,0.0,-0.2,43.19,41.31,85.94,6.61,-7.17,0.37,13,4725
3,1630226.0,27.0,19.0,1.0,0.0,1654.0,-0.24,0.04,0.08,0.03,0.06,-0.1,45.75,43.63,85.75,6.52,-7.02,0.6,13,4725
3,1630442.0,29.0,9.0,3.0,3.0,2148.0,0.85,0.06,-0.33,0.06,0.11,0.11,46.06,43.13,83.94,7.56,-7.05,0.41,13,4725
