class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
4,322155.0,27.0,11.0,0.0,2.0,2637.0,-0.36,0.54,0.1,0.05,-0.27,1.21,21.12,46.44,88.5,6.67,-6.28,0.26,3,1227
4,322378.0,24.0,17.0,0.0,2.0,1883.0,-0.2,0.36,0.26,0.09,0.05,0.88,6.31,32.44,87.62,5.05,-7.9,0.59,3,1227
4,322598.0,29.0,5.0,0.0,1.0,2919.0,0.04,0.14,0.38,0.02,0.04,0.54,358.44,24.37,86.94,4.1,-8.77,0.85,3,1227
4,322818.0,30.0,9.0,0.0,5.0,2941.0,-2.11,0.46,0.39,-0.11,-0.06,-0.89,357.62,23.5,86.94,1.8,-8.51,0.87,3,1227
4,323038.0,15.0,6.0,0.0,456.0,2741.0,-1.36,1.2,1.0,-0.07,0.08,-2.38,21.25,46.13,86.56,5.86,-5.41,1.4,3,1227
4,323254.0,25.0,6.0,0.0,2701.0,2279.0,0.45,0.3,-0.03,-0.04,0.01,-1.67,47.75,71.56,78.75,9.8,-2.58,0.57,3,1227
4,323476.0,26.0,9.0,0.0,2780.0,2387.0,0.03,-0.01,0.0,-0.02,-0.05,0.08,59.38,82.06,70.06,9.75,-1.29,0.45,3,1227
4,323696.0,25.0,9.0,0.0,2643.0,2392.0,-0.05,0.03,0.17,0.02,-0.01,0.03,58.94,81.81,70.19,9.65,-1.27,0.64,3,1227
4,323914.0,27.0,8.0,0.0,1.0,1996.0,0.85,0.27,0.26,0.04,-0.18,0.05,58.5,82.06,85.94,10.57,-1.06,0.34,3,1227
4,324132.0,45.0,276.0,0.0,0.0,1251.0,0.5,0.06,0.08,0.09,0.04,0.56,55.06,79.62,98.75,10.14,-1.68,-0.18,3,1227
4,324349.0,31.0,373.0,1.0,0.0,1333.0,-0.58,0.12,0.38,0.09,0.01,0.95,44.25,69.87,93.12,8.62,-3.23,0.2,3,1227
