class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
4,377201.0,26.0,9.0,0.0,0.0,2385.0,0.1,0.31,0.0,0.01,0.0,1.12,351.69,68.81,88.5,9.26,-3.39,0.15,3,1233
4,377418.0,29.0,10.0,4.0,1.0,2663.0,-0.85,0.16,0.04,0.03,0.02,0.87,338.06,55.44,88.31,7.06,-5.5,0.23,3,1233
4,377636.0,23.0,9.0,0.0,0.0,2633.0,0.25,0.31,0.14,0.04,0.0,0.34,331.62,49.31,88.0,7.69,-6.07,0.36,3,1233
4,377849.0,23.0,6.0,0.0,2888.0,2746.0,-1.82,0.77,0.71,0.17,0.39,-1.69,337.62,54.56,85.69,6.16,-4.88,1.13,3,1233
4,378065.0,25.0,5.0,1.0,2341.0,2456.0,1.12,0.51,0.05,-0.01,-0.04,-1.32,357.87,74.37,77.81,10.57,-2.05,0.61,3,1233
4,378284.0,28.0,8.0,0.0,2879.0,2415.0,-0.43,0.04,0.05,0.01,-0.02,0.02,5.69,81.69,71.25,9.27,-1.29,0.5,3,1233
4,378501.0,27.0,8.0,10.0,4095.0,2335.0,-0.21,0.1,0.05,0.02,0.0,0.02,5.69,81.75,70.25,9.48,-1.21,0.53,3,1233
4,378717.0,26.0,8.0,0.0,1900.0,2324.0,-0.13,-0.02,-0.02,0.02,-0.02,0.03,5.37,81.56,70.44,9.56,-1.37,0.45,3,1233
4,378937.0,25.0,8.0,1.0,1.0,2274.0,-0.41,0.14,0.1,-0.06,-0.22,0.43,2.06,78.75,83.75,9.2,-1.75,0.31,3,1233
