class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
4,112567.0,34.0,14.0,2.0,1.0,1810.0,0.72,0.07,0.51,0.06,0.01,0.88,320.87,39.63,86.06,6.97,-7.45,1.03,3,1200
4,112783.0,31.0,17.0,2.0,1.0,1952.0,0.06,0.12,0.43,0.03,0.01,0.81,310.44,29.37,86.0,4.82,-8.43,1.02,3,1200
4,113000.0,30.0,9.0,1.0,1.0,2645.0,0.43,-0.18,0.62,0.04,-0.03,0.21,303.5,22.56,86.06,2.85,-9.26,0.78,3,1200
4,113218.0,26.0,792.0,0.0,3.0,2645.0,-0.26,0.15,0.38,-0.05,-0.04,-0.59,305.25,24.62,85.94,3.82,-8.73,1.01,3,1200
4,113434.0,27.0,868.0,2.0,0.0,2452.0,-0.07,0.06,0.05,-0.11,-0.04,-1.18,316.44,35.94,86.87,5.77,-7.79,0.47,3,1200
4,113653.0,28.0,455.0,0.0,1.0,2215.0,0.83,-0.19,-0.26,-0.15,-0.0,-1.28,331.5,50.5,87.75,8.48,-6.33,-0.03,3,1200
4,113872.0,45.0,2027.0,2.0,2.0,1521.0,3.12,0.07,0.28,0.1,-0.15,0.88,337.0,56.06,88.56,11.61,-5.34,0.23,3,1200
4,114089.0,22.0,941.0,0.0,1.0,2719.0,-0.59,1.05,-0.08,0.28,0.22,2.34,311.75,33.0,86.19,6.83,-7.77,1.12,3,1200
4,114312.0,39.0,31.0,1.0,3.0,2827.0,-1.53,-0.24,0.98,-0.03,0.2,0.69,290.62,10.94,83.62,0.26,-9.82,2.04,3,1200
4,114532.0,39.0,9.0,0.0,3.0,2765.0,-0.06,0.16,0.49,0.01,-0.03,-0.18,291.06,10.63,84.5,1.63,-9.37,1.37,3,1200
