class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
3,245409.0,31.0,14.0,1.0,1.0,2013.0,0.6,0.21,0.19,0.08,-0.03,0.67,319.62,34.63,71.62,6.17,-7.44,2.73,9,3068
3,245623.0,25.0,9.0,0.0,5.0,2601.0,-0.25,0.06,0.43,0.08,-0.03,0.49,311.56,27.62,71.87,4.25,-8.2,3.13,9,3068
3,245840.0,1143.0,11.0,6.0,1.0,2520.0,-1.78,0.22,0.46,-0.08,-0.19,0.1,306.94,24.31,72.37,3.73,-8.14,3.08,9,3068
3,246057.0,1287.0,9.0,5.0,1.0,2540.0,0.32,-0.01,0.23,-0.11,-0.01,-0.52,310.87,27.94,72.69,4.93,-8.28,2.8,9,3068
3,246273.0,1919.0,13.0,9.0,1.0,2397.0,-0.06,0.0,0.29,0.03,-0.0,0.0,314.31,31.12,72.69,4.99,-8.0,2.79,9,3068
3,246494.0,1708.0,8.0,8.0,1.0,2647.0,-0.07,-0.02,0.16,0.01,-0.01,-0.01,314.44,31.12,72.5,5.0,-8.02,2.68,9,3068
3,246711.0,1417.0,7.0,6.0,2.0,2633.0,-0.51,0.05,0.33,0.02,-0.0,-0.05,314.56,31.31,72.25,4.77,-7.92,2.93,9,3068
3,246926.0,1900.0,7.0,10.0,2.0,2543.0,0.03,0.09,0.16,-0.03,-0.01,-0.1,315.44,32.13,72.0,5.25,-7.8,2.71,9,3068
3,247147.0,1915.0,7.0,8.0,3.0,2616.0,-0.26,0.05,0.28,-0.0,-0.0,-0.01,315.75,32.38,72.0,4.99,-7.81,2.83,9,3068
3,247362.0,1404.0,7.0,6.0,1.0,2451.0,-0.33,-0.44,0.6,-0.01,0.0,-0.18,317.19,33.44,71.81,4.73,-7.87,3.61,9,3068
3,247579.0,1997.0,8.0,11.0,2.0,2373.0,0.07,-0.01,0.18,0.0,-0.0,-0.49,323.87,39.25,71.19,6.28,-7.2,2.62,9,3068
3,247798.0,2117.0,13.0,12.0,3.0,2424.0,0.34,-0.11,-0.01,-0.02,-0.01,-0.0,328.19,43.06,70.37,7.04,-6.86,2.38,9,3068
3,248015.0,1415.0,17.0,7.0,0.0,1851.0,0.45,-0.06,-0.15,0.1,-0.01,0.46,324.87,40.38,70.56,6.78,-7.13,2.33,9,3068
