class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
5,163537.0,25.0,6.0,0.0,4.0,1673.0,0.27,-0.06,0.15,0.72,0.47,0.3,73.12,64.62,48.44,9.11,-3.21,3.0,2,955
5,163761.0,27.0,7.0,0.0,1.0,1771.0,-0.4,-0.08,0.14,0.74,0.48,0.39,64.44,58.5,39.5,7.95,-3.33,4.09,2,955
5,163977.0,25.0,17.0,0.0,1.0,1911.0,0.23,0.07,0.03,0.47,0.13,0.45,55.88,52.25,35.56,7.7,-3.44,4.84,2,955
5,164199.0,26.0,7.0,0.0,1.0,1973.0,-0.17,0.1,-0.31,0.66,0.21,0.81,46.31,46.75,34.75,6.93,-3.74,5.23,2,955
5,164421.0,27.0,7.0,0.0,1.0,2074.0,0.25,0.52,0.51,0.58,0.11,1.04,31.37,38.81,34.06,6.4,-3.76,6.83,2,955
5,164636.0,29.0,11.0,1.0,1.0,2213.0,-0.13,0.2,0.5,0.08,0.03,1.13,17.75,31.12,37.06,4.76,-4.79,7.0,2,955
5,164853.0,28.0,9.0,1.0,1.0,2328.0,0.44,0.58,0.45,-0.42,0.22,0.89,6.75,22.56,43.44,4.21,-5.64,7.02,2,955
5,165072.0,31.0,1.0,1.0,0.0,2040.0,1.42,0.05,0.15,-0.61,-0.12,0.04,2.19,16.19,51.06,4.16,-7.26,6.06,2,955
5,165284.0,25.0,45.0,0.0,1.0,2313.0,0.4,0.23,0.15,-1.3,0.57,-0.39,8.19,14.69,60.63,2.29,-8.1,4.83,2,955
5,165502.0,17.0,486.0,0.0,0.0,2238.0,0.21,0.0,-0.37,-1.12,0.34,-0.51,20.94,17.69,74.5,3.19,-9.0,2.12,2,955
5,165721.0,25.0,9.0,0.0,2.0,2100.0,-0.49,0.1,-0.23,-0.3,0.06,-1.01,31.87,24.37,80.94,3.63,-8.68,1.13,2,955
5,165942.0,26.0,22.0,0.0,1.0,1865.0,0.0,0.35,-0.42,-0.12,0.0,-1.42,49.88,41.19,81.62,6.45,-6.93,0.64,2,955
5,166159.0,25.0,9.0,1.0,0.0,1701.0,-0.52,0.33,-0.1,0.4,0.1,-1.24,63.63,55.44,76.44,7.61,-4.96,1.22,2,955
5,166378.0,34.0,13.0,1.0,1.0,1275.0,1.47,0.04,0.17,0.61,0.17,-0.59,70.37,64.94,57.25,10.63,-3.4,2.07,2,955
5,166595.0,26.0,9.0,1.0,1.0,1752.0,-0.42,0.03,-0.41,0.76,0.45,0.28,64.81,60.5,43.31,8.61,-3.19,3.25,2,955
5,166819.0,27.0,12.0,1.0,0.0,1846.0,0.07,0.25,0.32,0.79,0.33,0.7,53.5,52.25,36.0,7.75,-3.29,5.28,2,955
5,167036.0,26.0,10.0,1.0,2.0,1933.0,0.07,0.02,0.37,0.42,0.13,1.02,40.69,44.56,36.94,7.12,-4.16,5.77,2,955
5,167256.0,25.0,7.0,1.0,1.0,2092.0,-1.29,0.13,0.11,0.24,0.1,1.04,26.87,36.19,41.19,4.76,-4.99,6.42,2,955
